exercise,classifier,accuracy,precision,recall,f1
squat,Rule-Based,0.775536809815951,0.1206896551724138,0.0012048192771084338,0.0023858214042263124
squat,Random Forest,0.944133435582822,0.9909767651703135,0.7561101549053356,0.857756516645514
squat,BiLSTM,0.8198644421272159,0.13984674329501914,0.23174603174603176,0.17443249701314217
lunge,Rule-Based,0.893982617926093,0.09108159392789374,0.13043478260869565,0.10726256983240223
lunge,Random Forest,0.986698069395608,0.868547832071576,0.8573369565217391,0.8629059829059829
lunge,BiLSTM,0.8126463700234192,0.12955465587044535,0.5614035087719298,0.21052631578947367
deadlift,Rule-Based,0.5550793502903817,0.04640468227424749,0.009131293188548864,0.01525982952983228
deadlift,Random Forest,0.9743159725457312,0.9934663298196708,0.9381375452451465,0.9650095197799873
deadlift,BiLSTM,0.5554901383573742,0.4814603536794067,0.5840830449826989,0.5278298936835523
bench_press,Rule-Based,0.2442325715521592,0.7306473517428701,0.14032037210111065,0.23542711277235848
bench_press,Random Forest,0.3641950832672482,0.9224531569831522,0.2546675650416223,0.39914155780007154
bench_press,BiLSTM,0.7111420612813371,0.6989558232931727,0.9560536145902,0.8075352635486266
overhead_press,Rule-Based,0.5692607618947257,0.17613850207000376,0.1977604056623706,0.1863242759032547
overhead_press,Random Forest,0.8863480689182781,0.8226452905811623,0.6938516796957532,0.7527793696275071
overhead_press,BiLSTM,0.7494232987312572,0.0,0.0,0.0
pullup,Rule-Based,0.772757093652616,0.31833150384193193,0.11885245901639344,0.17308266189197255
pullup,Random Forest,0.9416926357224865,0.8210174526550316,0.9061475409836065,0.8614845119812975
pullup,BiLSTM,0.9631415776782639,0.10416666666666667,0.3225806451612903,0.15748031496062992
pushup,Rule-Based,0.879940784603997,0.45985401459854014,0.02601156069364162,0.0492379835873388
pushup,Random Forest,0.9951640759930915,0.9611111111111111,1.0,0.9801699716713881
pushup,BiLSTM,0.6501046025104602,0.0,0.0,0.0
plank,Rule-Based,0.7661013475431675,0.17168011738811445,0.06376021798365122,0.09298629048281343
plank,Random Forest,0.912537787569811,0.7234236284998862,0.8659400544959128,0.7882921989333995
plank,BiLSTM,0.8124658283214872,0.13119533527696792,0.5,0.20785219399538107
bicep_curl,Rule-Based,0.5287188757361946,0.1656338028169014,0.10301331464611072,0.1270252754374595
bicep_curl,Random Forest,0.8825004373432853,0.8865396692484823,0.7419411352487737,0.8078206962327134
bicep_curl,BiLSTM,0.825722273998136,0.2780487804878049,0.59375,0.3787375415282392
tricep_dip,Rule-Based,0.7209519030893843,0.2511261261261261,0.14822200066467264,0.1864158829676071
tricep_dip,Random Forest,0.8833058562110243,0.7846248969497115,0.6326021934197408,0.700459981600736
tricep_dip,BiLSTM,0.17629482071713148,0.03055229142185664,0.9285714285714286,0.05915813424345848
